[20:20:05] 登录成功: 13800138000, 时间: .022785790s
[20:20:05] 查询成功: 13800138000, 时间: .021718417s
[20:20:05] 登录成功: 13900139000, 时间: .018340930s
[20:20:05] 查询成功: 13900139000, 时间: .021018978s
[20:20:06] 登录成功: 13700137000, 时间: .032006420s
[20:20:06] 查询成功: 13700137000, 时间: .028804572s
[20:20:06] 登录成功: 13800138000, 时间: .029913700s
[20:20:06] 查询成功: 13800138000, 时间: .024476595s
[20:20:06] 登录成功: 13900139000, 时间: .022924844s
[20:20:06] 查询成功: 13900139000, 时间: .029732708s
[20:20:06] 登录成功: 13700137000, 时间: .024816548s
[20:20:06] 查询成功: 13700137000, 时间: .027753460s
[20:20:06] 登录成功: 13800138000, 时间: .031524856s
[20:20:06] 查询成功: 13800138000, 时间: .025432340s
[20:20:07] 登录成功: 13900139000, 时间: .029313293s
[20:20:07] 查询成功: 13900139000, 时间: .025000839s
[20:20:07] 登录成功: 13700137000, 时间: .026700749s
[20:20:07] 查询成功: 13700137000, 时间: .038492029s
[20:20:07] 登录成功: 13800138000, 时间: .030645856s
[20:20:07] 查询成功: 13800138000, 时间: .033507351s
[20:20:07] 登录成功: 13900139000, 时间: .031006638s
[20:20:07] 查询成功: 13900139000, 时间: .024536687s
[20:20:08] 登录成功: 13700137000, 时间: .023770868s
[20:20:08] 查询成功: 13700137000, 时间: .027767153s
[20:20:08] 登录成功: 13800138000, 时间: .030518912s
[20:20:08] 查询成功: 13800138000, 时间: .037431012s
[20:20:08] 登录成功: 13900139000, 时间: .032193310s
[20:20:08] 查询成功: 13900139000, 时间: .027972906s
[20:20:08] 登录成功: 13700137000, 时间: .027537292s
[20:20:08] 查询成功: 13700137000, 时间: .019699722s
[20:20:08] 登录成功: 13800138000, 时间: .048739062s
[20:20:08] 查询成功: 13800138000, 时间: .042237553s
[20:20:08] 登录成功: 13900139000, 时间: .027822506s
[20:20:08] 查询成功: 13900139000, 时间: .020218776s
[20:20:08] 登录成功: 13700137000, 时间: .024790878s
[20:20:08] 查询成功: 13700137000, 时间: .020096242s
[20:20:09] 登录成功: 13800138000, 时间: .021521564s
[20:20:09] 查询成功: 13800138000, 时间: .022284412s
[20:20:09] 登录成功: 13900139000, 时间: .020252134s
[20:20:09] 查询成功: 13900139000, 时间: .025988809s
[20:20:09] 登录成功: 13700137000, 时间: .019837862s
[20:20:09] 查询成功: 13700137000, 时间: .023733236s
[20:20:09] 登录成功: 13800138000, 时间: .032556548s
[20:20:09] 查询成功: 13800138000, 时间: .027189385s
[20:20:09] 登录成功: 13900139000, 时间: .026467192s
[20:20:09] 查询成功: 13900139000, 时间: .028074796s
[20:20:09] 登录成功: 13700137000, 时间: .030933834s
[20:20:09] 查询成功: 13700137000, 时间: .029284712s
[20:20:10] 登录成功: 13800138000, 时间: .027626634s
[20:20:10] 查询成功: 13800138000, 时间: .019969076s
[20:20:10] 登录成功: 13900139000, 时间: .023741089s
[20:20:10] 查询成功: 13900139000, 时间: .020837313s
[20:20:10] 登录成功: 13700137000, 时间: .033285337s
[20:20:10] 查询成功: 13700137000, 时间: .027613869s
[20:20:10] 登录成功: 13800138000, 时间: .031373351s
[20:20:10] 查询成功: 13800138000, 时间: .036077945s
[20:20:10] 登录成功: 13900139000, 时间: .034224328s
[20:20:10] 查询成功: 13900139000, 时间: .028711701s
[20:20:10] 登录成功: 13700137000, 时间: .022921702s
[20:20:10] 查询成功: 13700137000, 时间: .026421219s
[20:20:11] 登录成功: 13800138000, 时间: .022715490s
[20:20:11] 查询成功: 13800138000, 时间: .024355355s
[20:20:11] 登录成功: 13900139000, 时间: .027897748s
[20:20:11] 查询成功: 13900139000, 时间: .022054246s
[20:20:11] 登录成功: 13700137000, 时间: .020537698s
[20:20:11] 查询成功: 13700137000, 时间: .031776080s
[20:20:11] 登录成功: 13800138000, 时间: .022495207s
[20:20:11] 查询成功: 13800138000, 时间: .025014164s
[20:20:11] 登录成功: 13900139000, 时间: .019067272s
[20:20:11] 查询成功: 13900139000, 时间: .023598459s
[20:20:11] 登录成功: 13700137000, 时间: .031172147s
[20:20:11] 查询成功: 13700137000, 时间: .029043884s
[20:20:12] 登录成功: 13800138000, 时间: .025704902s
[20:20:12] 查询成功: 13800138000, 时间: .026729909s
[20:20:12] 登录成功: 13900139000, 时间: .029150911s
[20:20:12] 查询成功: 13900139000, 时间: .031560619s
[20:20:12] 登录成功: 13700137000, 时间: .028542078s
[20:20:12] 查询成功: 13700137000, 时间: .023914228s
[20:20:12] 登录成功: 13800138000, 时间: .038615736s
[20:20:13] 查询成功: 13800138000, 时间: .032567780s
[20:20:13] 登录成功: 13900139000, 时间: .028909905s
[20:20:13] 查询成功: 13900139000, 时间: .025627498s
[20:20:13] 登录成功: 13700137000, 时间: .027251524s
[20:20:13] 查询成功: 13700137000, 时间: .033919396s
[20:20:13] 登录成功: 13800138000, 时间: .024400299s
[20:20:13] 查询成功: 13800138000, 时间: .031740776s
[20:20:13] 登录成功: 13900139000, 时间: .032230831s
[20:20:13] 查询成功: 13900139000, 时间: .026303863s
[20:20:13] 登录成功: 13700137000, 时间: .026692726s
[20:20:13] 查询成功: 13700137000, 时间: .034364434s
[20:20:13] 登录成功: 13800138000, 时间: .026699904s
[20:20:14] 查询成功: 13800138000, 时间: .029574680s
[20:20:14] 登录成功: 13900139000, 时间: .026905189s
[20:20:14] 查询成功: 13900139000, 时间: .027780507s
[20:20:14] 登录成功: 13700137000, 时间: .023620435s
[20:20:14] 查询成功: 13700137000, 时间: .030707785s
[20:20:14] 登录成功: 13800138000, 时间: .024691111s
[20:20:14] 查询成功: 13800138000, 时间: .030716840s
[20:20:15] 登录成功: 13900139000, 时间: .026660504s
[20:20:15] 查询成功: 13900139000, 时间: .029074623s
[20:20:15] 登录成功: 13700137000, 时间: .027197249s
[20:20:15] 查询成功: 13700137000, 时间: .030606969s
[20:20:15] 登录成功: 13800138000, 时间: .024689219s
[20:20:15] 查询成功: 13800138000, 时间: .027986811s
[20:20:15] 登录成功: 13900139000, 时间: .027700150s
[20:20:15] 查询成功: 13900139000, 时间: .031831727s
[20:20:15] 登录成功: 13700137000, 时间: .031340845s
[20:20:15] 查询成功: 13700137000, 时间: .024901714s
[20:20:15] 登录成功: 13800138000, 时间: .030492292s
[20:20:15] 查询成功: 13800138000, 时间: .024189736s
[20:20:16] 登录成功: 13900139000, 时间: .033052834s
[20:20:16] 查询成功: 13900139000, 时间: .024284270s
[20:20:16] 登录成功: 13700137000, 时间: .029484911s
[20:20:16] 查询成功: 13700137000, 时间: .034203104s
[20:20:16] 登录成功: 13800138000, 时间: .032424060s
[20:20:16] 查询成功: 13800138000, 时间: .034506704s
[20:20:16] 登录成功: 13900139000, 时间: .031463117s
[20:20:16] 查询成功: 13900139000, 时间: .025941744s
[20:20:16] 登录成功: 13700137000, 时间: .030868600s
[20:20:16] 查询成功: 13700137000, 时间: .036354468s
[20:20:17] 登录成功: 13800138000, 时间: .028351167s
[20:20:17] 查询成功: 13800138000, 时间: .027682296s
[20:20:17] 登录成功: 13900139000, 时间: .037143044s
[20:20:17] 查询成功: 13900139000, 时间: .029227950s
[20:20:17] 登录成功: 13700137000, 时间: .036698270s
[20:20:17] 查询成功: 13700137000, 时间: .039156646s
[20:20:17] 登录成功: 13800138000, 时间: .033174341s
[20:20:17] 查询成功: 13800138000, 时间: .026512439s
[20:20:17] 登录成功: 13900139000, 时间: .026528872s
[20:20:17] 查询成功: 13900139000, 时间: .034682589s
[20:20:18] 登录成功: 13700137000, 时间: .032747576s
[20:20:18] 查询成功: 13700137000, 时间: .034110217s
[20:20:18] 登录成功: 13800138000, 时间: .033810645s
[20:20:18] 查询成功: 13800138000, 时间: .028056515s
[20:20:18] 登录成功: 13900139000, 时间: .025135442s
[20:20:18] 查询成功: 13900139000, 时间: .033633337s
[20:20:18] 登录成功: 13700137000, 时间: .031524813s
[20:20:18] 查询成功: 13700137000, 时间: .028018202s
[20:20:18] 登录成功: 13800138000, 时间: .028974186s
[20:20:18] 查询成功: 13800138000, 时间: .032811879s
[20:20:19] 登录成功: 13900139000, 时间: .036025681s
[20:20:19] 查询成功: 13900139000, 时间: .030519664s
[20:20:19] 登录成功: 13700137000, 时间: .026967096s
[20:20:19] 查询成功: 13700137000, 时间: .033963817s
[20:20:19] 登录成功: 13800138000, 时间: .041853702s
[20:20:19] 查询成功: 13800138000, 时间: .033383229s
[20:20:19] 登录成功: 13900139000, 时间: .034010086s
[20:20:19] 查询成功: 13900139000, 时间: .026914768s
[20:20:19] 登录成功: 13700137000, 时间: .026631446s
[20:20:19] 查询成功: 13700137000, 时间: .026458476s
[20:20:20] 登录成功: 13800138000, 时间: .034421370s
[20:20:20] 查询成功: 13800138000, 时间: .033028999s
[20:20:20] 登录成功: 13900139000, 时间: .030343462s
[20:20:20] 查询成功: 13900139000, 时间: .025659198s
[20:20:20] 登录成功: 13700137000, 时间: .027314283s
[20:20:20] 查询成功: 13700137000, 时间: .028637244s
[20:20:20] 登录成功: 13800138000, 时间: .029947319s
[20:20:20] 查询成功: 13800138000, 时间: .033812164s
